name,price,description,link
floatride energy 5 women's running shoes,99.99,"If you run, then you're a runner. These women's Reebok shoes are designed to support you no matter your distance or pace. The breathable, lightweight upper keeps your feet cool and comfy, and Floatride Energy Foam cushions your ride. A midfoot plate provides torsional stability to keep you going when fatigue sets in., ['Style:', '100074861', 'Gender:', 'Women\n', 'Floatride energy foam\n', 'Rubber outsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-floatride-energy-5-womens-running-shoes-aqudus-vingre-peaglo
legacy lifter iii weightlifting shoes,179.99,"Stability is the key to achieving your weight room goals. These women's Reebok training shoes deliver with inflatable pump technology that lets you fine tune the fit to your preference. A midfoot strap adds a locked-in feel. The raised heel with a TPU clip provides extra support for optimum performance on the platform., ['Style:', '100074529', 'Gender:', 'Women\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-legacy-lifter-iii-weightlifting-shoes-purgry-stepur-laspin
victor solomon bb 4000 ii basketball shoes,149.99,"Style:,100206494,Gender:,Unisex
,Eva midsole
,Rubber outsole
",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-victor-solomon-bb-4000-ii-basketball-shoes-white-gold-puregrey8
club c revenge vintage shoes,79.99,"Take a clean, tennis-inspired silhouette and make it luxe. These women's Reebok shoes use a warm autumn-inspired colour palette for a seasonal touch. The upper is a premium mix of leather, nubuck and suede. A terry lining, OG logos and an EVA drop-in midsole keep your look truly vintage., ['Style:', 'GY9411', 'Gender:', 'Women\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-club-c-revenge-vintage-shoes-weabei-trubei-chalk
club c 85 pl shoes,99.99,"Experience effortless comfort wearing Club C 85 PL Shoes. Crafted with premium leather and fitted with a dual density Ortholite sockliner with a memory foam and responsive foam combo, these shoes also feature a memory foam collar, waxed laces for greater customization, and a variety of rubber outsoles for optimal traction. Relax in style with these stylish, yet comfortable shoes., ['Style:', '100073115', 'Gender:', 'Unisex\n', 'Microfiber lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-club-c-85-pl-shoes-coubro-goldmt-clawht
dailyfit dmx slip-on women's shoes,79.99,"Build fitness into your daily routine in these women's Reebok shoes. DMX TripleMax moving air technology cushions your stride and cradles your arches for all-day energy. The slip-on upper makes them easy to put on and take off. A molded heel hugs the foot for support and comfort., ['Style:', 'GV8603', 'Gender:', 'Women\n', 'Rubber outsole\n', 'Slip on\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-dailyfit-dmx-slip-on-womens-shoes-cblack-inflil-ftwwht
club c extra shoes,99.99,"You don't need to be loud to be extra, and these women's Reebok shoes prove it. The upper adds layer and texture to your everyday look with a blend of leather, hairy suede (think: retro), and textile. Neutral shades mean you can wear them with whatever you want., ['Style:', '100201421', 'Gender:', 'Women\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : suede and leather\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-club-c-extra-shoes-grey5-grey5-grey2
classic leather shoes wht/chalk/stucco,115.00,"Forget about spot-cleaning your kicks, these Reebok shoes are made to be worn no matter where the day takes you. Leather with soft suede overlays gives them a textured look that keeps getting better with age., ['Style:', '100032772', 'Gender:', 'Unisex\n', 'Eva midsole\n', 'Rubber outsole\n', 'Terry lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-classic-leather-shoes-ftwr-wht-chalk-stucco
classic leather shoes,99.99,"Clean, minimalist design keeps your look forever fresh. These Reebok Classic Leather Shoes update the iconic retro style. A supple leather upper and logos pulled from the archives give you trainers that always work, no matter what you pair them with. A slimmer toe shape, improved vamp, and an enhanced two-piece midsole give these kicks a sleek, modern profile., ['Style:', '100032947', 'Gender:', 'Unisex\n', 'Eva midsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-classic-leather-shoes-chalk-vecblu-vecred
classic leather shoes,89.99,"Remix your look in these Reebok shoes. These shoes revamp the iconic Classic Leather with labels on the tongue and quarter panel that mash up eras. A coated leather and nubuck upper gives them all-day wearability. Pair them with pieces inspired by the '90s, '00s and beyond to create your own unique look., ['Style:', '100202344', 'Gender:', 'Unisex\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-classic-leather-shoes-ftwwht-cblack-vectred
classic leather sp extra,99.99,"Take a classic up a notch. These women's Reebok shoes have a platform-style midsole for a little height boost. A carefully threaded upper gives them a structured look. The ripple outsole channels your fierce attitude., ['Style:', '100009248', 'Gender:', 'Women\n', 'Eva midsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-classic-leather-sp-extra-chalk-blupea-chalk
club c extra,99.99,"Being extra is a good thing. These women's Club C Extra shoes prove it. An exaggerated platform midsole with a geometric design gives you an amplified look. Don't miss the outsole which has a 3D tennis racket effect. Subtle hits of iconic colour on the leather upper seal the deal., ['Style:', '100033501', 'Gender:', 'Women\n', 'Eva midsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-club-c-extra-ftwwht-ftwwht-pugry3
club c revenge shoes,69.99,"These women's shoes reinvent the idea of vintage by combining retro elements from the '80s and '90s to create completely new details. The leather upper stays true to the original. The tongue label incorporates the heritage Starcrest logo and the modern Vector logo for a look that's all Reebok., ['Style:', '100074921', 'Gender:', 'Women\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-club-c-revenge-shoes-chalk-pinstu-pinstu
reebok x global citizen club c revenge shoes,69.99,"Global Citizen is an action platform that rallies around the issues of climate change, poverty and inequality. Show your support in these Reebok Club C Revenge Shoes. Colors and graphics highlight the collaboration, while a QR code on the tongue offers information on how to get involved., ['Style:', '100200441', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-x-global-citizen-club-c-revenge-shoes-white-black-red
fluffipuff,54.95,"Reebok and DC have joined forces  to create these sneakers. These Fluffipuff shoes represent Batman and his high-tech Batsuit. Kevlar materials, moulded armour components, and battle scuffs encapsulate Batman's crime fighting equipment. A reflective logo resembles the bat signal in the dark night sky and removable lace gauntlets for ultimate protection., ['Style:', 'HQ4589', 'Gender:', 'Unisex\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-fluffipuff-cblack-alloy-magold
club c revenge shoes,99.99,"Rediscover a classic with the Club C Revenge Shoes, a modern take on the 1987 tennis original. This version elevates the iconic Club C 85 with added brand mark side stripes, infusing trendy materials and colors for a fresh twist. The timeless design, complemented by a sock liner inspired by vintage clothing, features nostalgic details, making these shoes a lasting favorite., ['Style:', '100200780', 'Gender:', 'Unisex\n', 'Rubber outsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-club-c-revenge-shoes-taupe-beige-stone-grey
work n cushion 4.0 shoes,69.99,"Stand. Work. Walk. The leather and synthetic build and air-cushioned feel of these women's shoes supports long days on your feet. A mesh lining lets feet breathe, and a slip-resistant outsole offers confident grip on wet workshop floors or slippery hallways., ['Style:', '100001160', 'Gender:', 'Women\n', 'Anti slip outsole\n', 'Foam midsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-work-n-cushion-4-0-shoes-black-cdgry5-black
reebok x global citizen classic leather shoes,69.99,"Get inspired to take action and demand equity in education in these Reebok shoes designed in partnership with the advocacy organization Global Citizen. They have a smooth leather upper for a vintage vibe, with colors and graphics that highlight the collaboration., ['Style:', '100200440', 'Gender:', 'Unisex\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-x-global-citizen-classic-leather-shoes-black-white-red
zig kinetica 3,112.90,"It's not the destination, it's the journey. Especially so in these women's Reebok running shoes. The latest iteration of the Zig Kinetica takes comfort and style up a notch. Zig cushioning geometry provides ultralight, responsive cushioning while the Flexweave knit upper offers a winning combo of breathability and support. The amplified zigzag design brings a bold look to everything you choose to do in these shoes., ['Style:', 'HR1318', 'Gender:', 'Women\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-zig-kinetica-3-pugry2-ftwwht-blupea
club c geo mid women's shoes r/chalk/stuc,79.99,"Add a few inches to your outfit with these women's Reebok platform shoes. A soft waffle knit on the collar lining and tongue make you cozy the minute you lace them up. Subtle color accents keep the look minimalist., ['Style:', '100033114', 'Gender:', 'Women\n', 'Rubber outsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-club-c-geo-mid-womens-shoes-r-chalk-stuc
the answer dmx shoes,119.99,"Style:,GX6330,Gender:,Unisex
,Lace closure
,Leather and synthetic upper
",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-the-answer-dmx-shoes-ftwwht-flasrd-cblack
energen plus 2 women's running shoes,69.99,"When you feel good, you can go farther. Simple as that. These women's Reebok running shoes are made to give you a comfortable, lightweight ride so you can go the distance. The mesh upper keeps your feet cool, and FuelFoam cushions every step so your legs feel fresh from warmup to cool-down., ['Style:', '100033940', 'Gender:', 'Women\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-energen-plus-2-womens-running-shoes-core-blk-pure-gry-7-pure-gry-5
energen plus 2 running shoes,69.99,"When you feel good, you can go farther. Simple as that. These women's Reebok running shoes are made to give you a comfortable, lightweight ride so you can go the distance. The mesh upper keeps your feet cool, and FuelFoam cushions every step so your legs feel fresh from warmup to cool-down., ['Style:', '100074815', 'Gender:', 'Women\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-energen-plus-2-running-shoes-palblu-vinblu-chalk
floatride energy 5 shoes,99.99,"If you run, then you're a runner. These women's Reebok shoes are designed to support you no matter your distance or pace. The breathable, lightweight upper keeps your feet cool and comfy, and Floatride Energy Foam cushions your ride. A midfoot plate provides torsional stability to keep you going when fatigue sets in., ['Style:', '100025278', 'Gender:', 'Women\n', 'Floatride energy foam\n', 'Recycled materials\n', 'Rubber outsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-floatride-energy-5-shoes-core-blk-pure-gry-8-ftwr-wht
club c extra shoes,99.99,"Add extra height when you wear these women's Reebok shoes. Hits of color take their inspiration from sunrise and sunset hues. A master mix of leather and textile pops plus a suede underlays add texture for days., ['Style:', '100074265', 'Gender:', 'Women\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-club-c-extra-shoes-chalk-but-chalk
reebok x needles beatnik slides,99.99,"Designer and CEO Keizo Shimizu is a global taste maker. He brings that vision to these Reebok slides, designed in collaboration with his clothing brand, Needles. Made of suede with a rugged rubber outsole, they have a low-key bohemian look. A Needles butterfly is embroidered on the upper., ['Style:', '100207687', 'Gender:', 'Unisex\n', 'Slip on\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-x-needles-beatnik-sandals-canvas-extm-purple-canvas
reebok glide dmx shoes,79.99,"Retro running style gets a fresh update. These Reebok shoes have a mesh upper with suede overlays for a throwback vibe. DMX Microbubbles in the midsole make every step extra plush. See-through sidewalls reveal the bubbles for a techy effect., ['Style:', '100201255', 'Gender:', 'Unisex\n', 'Dmx microbubbles in       midsole\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : mesh and suede\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-glide-dmx-shoes-black-black-grey-6
classic leather shoes,89.99,"Style:,100008493,Gender:,Unisex
,Lace closure
,Leather upper
",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-classic-leather-shoes-cblack-pugry5-rbkg03
reebok x needles beatnik slides,99.99,"Designer and CEO Keizo Shimizu is a global taste maker. He brings that vision to these Reebok slides, designed in collaboration with his clothing brand, Needles. Made of suede with a rugged rubber outsole, they have a low-key bohemian look. A Needles butterfly is embroidered on the upper., ['Style:', '100207686', 'Gender:', 'Unisex\n', 'Slip on\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-x-needles-beatnik-slides-cblack-extmpurple-cblack
reebok glide dmx shoes,79.99,"Retro running style gets a fresh update. These Reebok shoes have a mesh upper with suede overlays for a throwback vibe. DMX Microbubbles in the midsole make every step extra plush. See-through sidewalls reveal the bubbles for a techy effect., ['Style:', '100201251', 'Gender:', 'Unisex\n', 'Dmx microbubbles in       midsole\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : mesh and suede\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-glide-dmx-shoes-white-kinetic-blue-grey-1
dmx comfort + walking shoes,69.99,"Because life is not a spectator sport, we designed these Reebok shoes to take you everywhere you want to go. DMX cushioning moves air from heel to toe with every step to give you a springy feel underfoot. On top is a supportive knit upper with a padded tongue and Achilles heel pillow for added comfort. The bold silhouette delivers extra points for style., ['Style:', '100034134', 'Gender:', 'Unisex\n', 'Dmx cushioning\n', 'Eva midsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-dmx-comfort-walking-shoes-core-blk-pure-gry-3-cold-gry-7
energen tech plus 2 running shoes,99.99,"Make your next run the smoothest and most comfortable yet. These Reebok running shoes are built with a smooth cushioned Floatride Fuel foam midsole that delivers soft underfoot comfort. The mesh upper is engineered with areas of stretch and targeted support. A hotmelt cage provides lockdown for the midfoot without being rigid or heavy. The LuxComfort sockliner offers an extra layer of cushion for comfort that goes the distance., ['Style:', '100204828', 'Gender:', 'Unisex\n', 'Breathable mesh\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-energen-tech-plus-2-running-shoes-black-white
energen tech plus 2 running shoes,89.99,"Make your next run the smoothest and most comfortable yet. These women's Reebok running shoes are built with a smooth cushioned Floatride Fuel foam midsole that delivers soft underfoot comfort. The mesh upper is engineered with areas of stretch and targeted support. A hotmelt cage provides lockdown for the midfoot without being rigid or heavy. The LuxComfort sockliner offers an extra layer of cushion for comfort that goes the distance., ['Style:', '100204835', 'Gender:', 'Women\n', 'Breathable mesh\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-energen-tech-plus-2-running-shoes-black-white
dmx comfort+ women's walking shoes,99.99,"Because life is not a spectator sport, we designed these women's Reebok shoes to take you everywhere you want to go. DMX cushioning moves air from heel to toe with every step to give you a springy feel underfoot. On top is a supportive knit upper with a padded tongue and Achilles heel pillow for added comfort. The bold silhouette delivers extra points for style., ['Style:', '100034129', 'Gender:', 'Women\n', 'Dmx crystal rubber        outsole\n', 'Dmx moving air            cushioning\n', 'Eva midsole\n', 'Partially recycled        materials\n', 'Upper : breathable knit\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-dmx-comfort-womens-walking-shoes-stefog-ftwwht-rbkle5
energen tech plus 2 running shoes,89.99,"Make your next run the smoothest and most comfortable yet. These women's Reebok running shoes are built with a smooth cushioned Floatride Fuel foam midsole that delivers soft underfoot comfort. The mesh upper is engineered with areas of stretch and targeted support. A hotmelt cage provides lockdown for the midfoot without being rigid or heavy. The LuxComfort sockliner offers an extra layer of cushion for comfort that goes the distance., ['Style:', '100201566', 'Gender:', 'Women\n', 'Breathable mesh\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-energen-tech-plus-2-running-shoes-women-white-white-white
