,Product_Brand,Product_Gender,Shoe_Name,Item_ID,Price,Link
23,BOGS,Girls',                                                            Bogs                                                        Snow Shell Unicorn Meadow                            Girls                                                    , 73221-409,79.99,https://www.softmoc.com/ca/i/bogs/girls/boots/grls-snow-shell-unicorn-meadow-waterproof-winter-boot--indigomulti/73221409
24,KAMIK,Girls',                                                            Kamik                                                        Snobuster 3                            Girls                                                    , snobuster3-chm,74.99,https://www.softmoc.com/ca/i/kamik/girls/boots/grls-snobuster-3-waterproof-winter-boot--black/snobuster3chm
25,KAMIK,Girls',                                                            Kamik                                                        Frostier                            Girls                                                    , frostier-gpi,119.99,https://www.softmoc.com/ca/i/kamik/girls/boots/grls-frostier-waterproof-winter-boot--greypink/frostiergpi
26,KAMIK,Girls',                                                            Kamik                                                        Snowangel                            Girls                                                    , snowangel-blk,79.99,https://www.softmoc.com/ca/i/kamik/girls/boots/grls-snowangel-waterproof-winter-boot--black/snowangelblk
27,UGG,Baby and Toddlers,                                                            UGG                                                        Classic Ultra Mini                            Baby and Toddlers                                                    , 1157690i-psk,64.99,https://www.softmoc.com/ca/i/ugg/baby-and-toddlers/slippers--moccasins/infg-classic-ultra-mini-bootie-slipper--pale-smoke/1157690ipsk
29,CONVERSE,Baby and Toddlers,                                                            Converse                                                        CTAS 2V Transformers                            Baby and Toddlers                                                    , a11661c,54.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/infs-chuck-taylor-all-star-v2-transformers-canvas-sneaker--blackyellowred/a11661c
30,CONVERSE,Unisex,                                                            Converse                                                        Chuck Taylor All Star 1V Transformers Hi                            Unisex                                                    , a11660c,59.99,https://www.softmoc.com/ca/i/converse/unisex/sneakers-and-athletic/kds-chuck-taylor-all-star-1v-transformers-hi-top-sneaker---blackwhitered/a11660c
31,BOGS,Boys',                                                            Bogs                                                        Neo-Classic Real Dino                            Boys                                                    , 73235-009,114.99,https://www.softmoc.com/ca/i/bogs/boys/boots/bys-neoclassic-real-dino-waterproof-boot--blackmulti/73235009
32,BOGS,Girls',                                                            Bogs                                                        Neo-Classic Firework Floral                            Girls                                                    , 73232-492,114.99,https://www.softmoc.com/ca/i/bogs/girls/boots/grls-neoclassic-firework-floral-waterproof-boot--navymulti/73232492
33,UGG,Baby and Toddlers,                                                            UGG                                                        Tasman                            Baby and Toddlers                                                    , 1130359i-che,64.99,https://www.softmoc.com/ca/i/ugg/baby-and-toddlers/slippers--moccasins/inf-tasman-bootie-slipper--chestnut/1130359iche
34,BOGS,Baby and Toddlers,                                                            Bogs                                                        Baby Bogs II Frontier                            Baby and Toddlers                                                    , 73124i-433,74.99,https://www.softmoc.com/ca/i/bogs/baby-and-toddlers/boots/infb-baby-bogs-ii-frontier-waterproof-boot--royal-multi/73124i433
35,BOGS,Unisex,                                                            Bogs                                                        Stomper Solid                            Unisex                                                    , 78885-001,94.99,https://www.softmoc.com/ca/i/bogs/unisex/boots/kds-stomper-solid-waterproof-boot--black-multi/78885001
36,BOGS,Baby and Toddlers,                                                            Bogs                                                        Baby Bogs II Mountian                            Baby and Toddlers                                                    , 79028i-492,74.99,https://www.softmoc.com/ca/i/bogs/baby-and-toddlers/boots/inf-baby-bogs-ii-mountian-waterproof-boot-navy-multi/79028i492
37,BOGS,Baby and Toddlers,                                                            Bogs                                                        Baby Bogs II Wild Rainbows                            Baby and Toddlers                                                    , 73100i-009,79.99,https://www.softmoc.com/ca/i/bogs/baby-and-toddlers/boots/infg-babybogsii-wild-rainbows-bootblk/73100i009
38,BOGS,Girls',                                                            Bogs                                                        York Neon                            Girls                                                    , 73086-009,84.99,https://www.softmoc.com/ca/i/bogs/girls/boots/kds-york-neon-waterproof-boot--black-multi/73086009
39,BOGS,Baby and Toddlers,                                                            Bogs                                                        Baby Bogs II Final Frontier                            Baby and Toddlers                                                    , 73103i-009,79.99,https://www.softmoc.com/ca/i/bogs/baby-and-toddlers/boots/infb-babybogsii-final-frontier-bootblk/73103i009
40,BOGS,Unisex,                                                            Bogs                                                        Classic II Final Frontier                            Unisex                                                    , 73081-009,99.99,https://www.softmoc.com/ca/i/bogs/unisex/boots/kds-classic-ii-frontier-waterproof-boot--blackmulti/73081009
41,BOGS,Girls',                                                            Bogs                                                        Classic II Rainbow Stars                            Girls                                                    , 73244-009,99.99,https://www.softmoc.com/ca/i/bogs/girls/boots/grls-classic-ii-rainbow-stars-waterproof-boot--blackmulti/73244009
42,BOGS,Baby and Toddlers,                                                            Bogs                                                        Baby Bogs II Horses                            Baby and Toddlers                                                    , 73264i-074,74.99,https://www.softmoc.com/ca/i/bogs/baby-and-toddlers/boots/infs-baby-bogs-ii-horses-waterproof-boot--dark-greymulti/73264i074
43,BOGS,Baby and Toddlers,                                                            Bogs                                                        Baby Bogs II Jurassic Dino                            Baby and Toddlers                                                    , 73268i-009,74.99,https://www.softmoc.com/ca/i/bogs/baby-and-toddlers/boots/infs-baby-bogs-ii-jurassic-dino-waterproof-boot--blackmulti/73268i009
44,SOREL,Girls',                                                            Sorel                                                        Whitney II Plus Lace                            Girls                                                    , 2088591-010,119.99,https://www.softmoc.com/ca/i/sorel/girls/boots/grls-whitney-ii-plus-lace-up-waterproof-boot--blacksea-salt/2088591010
45,COLUMBIA,Boys',                                                            Columbia                                                        Bugaboot Celsius                            Boys                                                    , 2099981-010,109.99,https://www.softmoc.com/ca/i/columbia/boys/boots/bys-bugaboot-celsius-waterproof-winter-boot--black/2099981010
46,COLUMBIA,Girls',                                                            Columbia                                                        Bugaboot Celsius                            Girls                                                    , 2099981-102,109.99,https://www.softmoc.com/ca/i/columbia/girls/boots/grls-bugaboot-celsius-waterproof-winter-boot--fawnfrosted-purple/2099981102
47,SOREL,Girls',                                                            Sorel                                                        Yoot Pac Nylon                            Girls                                                    , 2114111-2-081,109.99,https://www.softmoc.com/ca/i/sorel/girls/boots/grls-yoot-pac-nylon-waterproof-winter-boot--dovegum/21141112081
48,SOREL,Unisex,                                                            Sorel                                                        Yoot Pac Nylon                            Unisex                                                    , 2114111-2-010,109.99,https://www.softmoc.com/ca/i/sorel/unisex/boots/kds-yoot-pac-nylon-waterproof-winter-boot--black/21141112010
49,SOREL,Baby and Toddlers,                                                            Sorel                                                        Snow Commander                            Baby and Toddlers                                                    , 2114102-2-010,79.99,https://www.softmoc.com/ca/i/sorel/baby-and-toddlers/boots/infs-snow-commander-boot--blackcharcoal/21141022010
54,ADIDAS,Baby and Toddlers,                                                            adidas                                                        Grand Court Sulley CF I                            Baby and Toddlers                                                    , if4057,59.99,https://www.softmoc.com/ca/i/adidas/baby-and-toddlers/sneakers-and-athletic/infb-grand-court-sulley-cf-i-sneaker--tealinkpurple/if4057
55,ADIDAS,Baby and Toddlers,                                                            adidas                                                        Grand Court Minnie CF I                            Baby and Toddlers                                                    , if4056,59.99,https://www.softmoc.com/ca/i/adidas/baby-and-toddlers/sneakers-and-athletic/infg-grand-court-minnie-cf-i-sneaker--pinkwhitepink/if4056
57,SOREL,Unisex,                                                            Sorel                                                        Flurry                            Unisex                                                    , 2114081-2-014,89.99,https://www.softmoc.com/ca/i/sorel/unisex/boots/kds-flurry-pull-on-winter-boot--blackblue/21140812014
58,ADIDAS,Girls',                                                            adidas                                                        Kaptir 3.0 Flow K                            Girls                                                    , ih3488,84.99,https://www.softmoc.com/ca/i/adidas/girls/sneakers-and-athletic/grls-kaptir-30-flow-k-sneaker--pinkwhitepink/ih3488
59,UGG,Girls',                                                            UGG                                                        Butte II CWR                            Girls                                                    , 1098890k-pcry,169.99,https://www.softmoc.com/ca/i/ugg/girls/boots/grls-butte-ii-cold-weather-rated-waterproof-winter-boot--pink-crystal/1098890kpcry
60,REEBOK,Boys',                                                            Reebok                                                        CL Step N' Flash                            Boys                                                    , 100208379,79.99,https://www.softmoc.com/ca/i/reebok/boys/sneakers-and-athletic/kds-cl-step-n-flash-lace-up-sneaker--blackgreydigital-lime/100208379
61,REEBOK,Girls',                                                            Reebok                                                        CL Step N' Flash                            Girls                                                    , 100205148,79.99,https://www.softmoc.com/ca/i/reebok/girls/sneakers-and-athletic/kds-cl-step-n-flash-lace-up-sneaker--white-digital-purple/100205148
62,REEBOK,Boys',                                                            Reebok                                                        Rush Runner 5.0                            Boys                                                    , 100200971,54.99,https://www.softmoc.com/ca/i/reebok/boys/sneakers-and-athletic/kds-rush-runner-50-lace-up-sneaker--vector-navypump-orange/100200971
63,REEBOK,Girls',                                                            Reebok                                                        Rush Runner 5.0                            Girls                                                    , 100200972,54.99,https://www.softmoc.com/ca/i/reebok/girls/sneakers-and-athletic/kds-rush-runner-50-lace-up-sneaker--bold-pinkblack/100200972
64,CONVERSE,Boys',                                                            Converse                                                        Pro Blaze                            Boys                                                    , a08476c,69.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-pro-blaze-leather-sneaker--blackwhitemouse/a08476c
66,UGG,Girls',                                                            UGG                                                        Mini Crescent                            Girls                                                    , 1157697k-che,169.99,https://www.softmoc.com/ca/i/ugg/girls/boots/grls-mini-crescent-sheepskin-boot--chestnut/1157697kche
67,UGG,Girls',                                                            UGG                                                        Ultra Mini Platform                            Girls                                                    , 1157791k-che,164.99,https://www.softmoc.com/ca/i/ugg/girls/boots/grls-ultra-mini-platform-sheepskin-boot--chestnut/1157791kche
68,UGG,Unisex,                                                            UGG                                                        Tasman II                            Unisex                                                    , 1019066k-alp,99.99,https://www.softmoc.com/ca/i/ugg/unisex/slippers--moccasins/kds-tasman-ii-slipper--antilope/1019066kalp
69,REEBOK,Girls',                                                            Reebok                                                        Prime Step N Flash                            Girls                                                    , 100202285,64.99,https://www.softmoc.com/ca/i/reebok/girls/sneakers-and-athletic/grls-prime-step-n-flash-lace-up-sneaker--bold-pinkwhiteblack/100202285
70,REEBOK,Boys',                                                            Reebok                                                        Prime Step N Flash                            Boys                                                    , 100202280,64.99,https://www.softmoc.com/ca/i/reebok/boys/sneakers-and-athletic/bys-prime-step-n-flash-lace-up-sneaker--vector-redwhiteblack/100202280
71,UGG,Girls',                                                            UGG                                                        Classic Ultra Mini                            Girls                                                    , 1130750k-dyr,139.99,https://www.softmoc.com/ca/i/ugg/girls/boots/grls-classic-ultra-mini-sheepskin-boot--dusty-orchid/1130750kdyr
72,UGG,Girls',                                                            UGG                                                        Classic Mini II                            Girls                                                    , 1017715k-san,149.99,https://www.softmoc.com/ca/i/ugg/girls/boots/grls-classic-mini-ii-sheepskin-boot--sand/1017715ksan
74,CONVERSE,Girls',                                                            Converse                                                        CTAS Eva Lift - Sketch                            Girls                                                    , a08468c,69.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-eva-lift-sketch-platform-sneaker----pinkwhiteblack/a08468c
75,CONVERSE,Girls',                                                            Converse                                                        CTAS Eva Lift                            Girls                                                    , a08425c,64.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-eva-lift-hi-top-platform-sneaker---redwhiteblack/a08425c
76,CONVERSE,Boys',                                                            Converse                                                        CTAS Malden Street - Converse Bolts                            Boys                                                    , a10392c,54.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-malden-street-converse-bolts-mid-sneaker--blackgolden-wrenwhite/a10392c
79,SKECHERS,Unisex,                                                            Skechers                                                        Ultra Flex 3.0                            Unisex                                                    , 403844l-b,74.99,https://www.softmoc.com/ca/i/skechers/unisex/sneakers-and-athletic/kids-ultra-flex-30-slipins-sneaker--black/403844lb
80,REEBOK,Unisex,                                                            Reebok                                                        BB4500 Mid                            Unisex                                                    , 100208226,69.99,https://www.softmoc.com/ca/i/reebok/unisex/sneakers-and-athletic/kds-bb4500-mid-high-top-sneaker--whitenavyice/100208226
81,SKECHERS,Boys',                                                            Skechers                                                        Microspec Max Advance                            Boys                                                    , 403935l-bkcc,59.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-microspec-max-advance-sneaker--blackcharcoal/403935lbkcc
82,REEBOK,Boys',                                                            Reebok                                                        Royal Prime 2.0 Mid                            Boys                                                    , 100200898,64.99,https://www.softmoc.com/ca/i/reebok/boys/sneakers-and-athletic/kds-royal-prime-20-mid-high-top-sneaker--vector-redblackwhite/100200898
83,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Sola Glow                            Baby and Toddlers                                                    , 303714n-gylp,49.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infg-sola-glow-light-up-sneaker--greylight-pink/303714ngylp
84,PUMA,Unisex,                                                            Puma                                                        RBD Game Jr                            Unisex                                                    , 386172-12,89.99,https://www.softmoc.com/ca/i/puma/unisex/sneakers-and-athletic/kds-rbd-game-jr-high-top-sneaker--whitenavylight-blue/38617212
85,ADIDAS,Unisex,                                                            adidas                                                        Grand Court Mid K                            Unisex                                                    , ie3862,79.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-grand-court-mid-k-sneaker--whiteblack/ie3862
86,ADIDAS,Girls',                                                            adidas                                                        Grand Court 2.0 K                            Girls                                                    , ih4886,69.99,https://www.softmoc.com/ca/i/adidas/girls/sneakers-and-athletic/grls-grand-court-20-k-sneaker--whitejadepink/ih4886
87,PUMA,Unisex,                                                            Puma                                                        Caven 2.0 Jr                            Unisex                                                    , 393837-37,74.99,https://www.softmoc.com/ca/i/puma/unisex/sneakers-and-athletic/kds-caven-20-jr-lace-up-sneaker--white-frosted-dewcold-green/39383737
88,ADIDAS,Girls',                                                            adidas                                                        Grand Court Mid K                            Girls                                                    , ie8705,79.99,https://www.softmoc.com/ca/i/adidas/girls/sneakers-and-athletic/grls-grand-court-mid-k-sneaker--whitepinkyellow/ie8705
89,PUMA,Unisex,                                                            Puma                                                        Caven 2.0 AC + PS                            Unisex                                                    , 393839-37,69.99,https://www.softmoc.com/ca/i/puma/unisex/sneakers-and-athletic/kds-caven-20-jr-lace-up-sneaker--white-frosted-dewcold-green/39383937
90,SKECHERS,Boys',                                                            Skechers                                                        Skech-O-Saurus Lights                            Boys                                                    , 400119l-bklm,69.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-skechosaurus-lights-sneaker--blacklime/400119lbklm
91,SKECHERS,Boys',                                                            Skechers                                                        Light Storm 2.0                            Boys                                                    , 400149l-nvor,69.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-light-storm-20-light-up-sneaker--navyorange/400149lnvor
92,SKECHERS,Boys',                                                            Skechers                                                        Elite Sport Tread                            Boys                                                    , 403962l-nvy,57.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-elite-sport-tread-sneaker--navy/403962lnvy
93,PUMA,Baby and Toddlers,                                                            Puma                                                        Anzarun Lite AC Inf                            Baby and Toddlers                                                    , 372010-40,44.99,https://www.softmoc.com/ca/i/puma/baby-and-toddlers/sneakers-and-athletic/infg-puma-anzarun-lite-ac-sneaker--purplewhite/37201040
94,SKECHERS,Boys',                                                            Skechers                                                        Game Kicks Depth Charge 2.0                            Boys                                                    , 402268l-bkmt,59.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-game-kicks-depth-charge-20-sneaker--blackmulti/402268lbkmt
95,PUMA,Girls',                                                            Puma                                                        Softride Enzo Evo Jr                            Girls                                                    , 387052-19,84.99,https://www.softmoc.com/ca/i/puma/girls/sneakers-and-athletic/grls-softride-enzo-evo-jr-sneaker--frosted-dewwhite/38705219
96,SKECHERS,Girls',                                                            Skechers                                                        Rainbow Cruisers                            Girls                                                    , 303721l-nvmt,74.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-rainbow-cruisers-light-up-sneaker--navymulti/303721lnvmt
97,CONVERSE,Unisex,                                                            Converse                                                        CTAS 1V - Converse Bolts                            Unisex                                                    , a08373c,54.99,https://www.softmoc.com/ca/i/converse/unisex/sneakers-and-athletic/kds-chuck-taylor-all-star-1v-converse-bolts-mid-sneaker--blackgolden-wrenghost-town/a08373c
98,CONVERSE,Unisex,                                                            Converse                                                        CTAS 1V -  Sketch Pack                            Unisex                                                    , a10385c,54.99,https://www.softmoc.com/ca/i/converse/unisex/sneakers-and-athletic/kds-chuck-taylor-all-star-1v-sketch-pack-sneaker--blackwhiteblack/a10385c
99,CONVERSE,Girls',                                                            Converse                                                        CTAS 1V - Happy Hearts                            Girls                                                    , a08377c,54.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-start-1v-happy-hearts-sneaker--winter-slaywhiteblack/a08377c
100,PUMA,Unisex,                                                            Puma                                                        Anzarun Lite AC PS                            Unisex                                                    , 372009-40,59.99,https://www.softmoc.com/ca/i/puma/unisex/sneakers-and-athletic/kds-anzarun-lite-ac-ps-sneaker--pale-plumwhitemidnight-plum/37200940
101,SKECHERS,Girls',                                                            Skechers                                                        Ultra Flex 3.0 - Blissful Bay                            Girls                                                    , 303807l-bkmt,74.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-ultra-flex-30-blissful-bay-sneaker--blackmulti/303807lbkmt
102,SKECHERS,Girls',                                                            Skechers                                                        JGoldcrown Uno Lite - Metallic Love                            Girls                                                    , 314067l-hpmt,79.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-jgoldcrown-uno-lite-metallic-love-lace-up-sneaker--hot-pinkmulti/314067lhpmt
103,SKECHERS,Girls',                                                            Skechers                                                        Ultra Flex 3.0                            Girls                                                    , 303828l-pkbk,69.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-ultra-flex-30-slipins-sneaker--pinkblack/303828lpkbk
104,SKECHERS,Girls',                                                            Skechers                                                        S-Lights Unicorn Dreams                            Girls                                                    , 302299l-bkmt,69.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-slights-unicorn-dreams-light-up-sneaker--blackmulti/302299lbkmt
105,SKECHERS,Girls',                                                            Skechers                                                        Flicker Flash                            Girls                                                    , 303704l-bkmt,57.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-flicker-flash-light-up-sneaker--blackmulti/303704lbkmt
106,SKECHERS,Girls',                                                            Skechers                                                        Unicorn Chaser                            Girls                                                    , 302298l-lvmt,74.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-unicorn-chaser-light-up-sneaker--lavendermulti/302298llvmt
107,CONVERSE,Boys',                                                            Converse                                                        CTAS Pro Blaze Strap                            Boys                                                    , a01071c,74.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-pro-blaze-strap-leather-sneaker--whiteblack/a01071c
108,CONVERSE,Boys',                                                            Converse                                                        CTAS Axel - Sport                            Boys                                                    , a08409c,54.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-axel-sport-mid-sneaker--bloodstonewhiteblack/a08409c
109,CONVERSE,Unisex,                                                            Converse                                                        CTAS Malden Street 1V - Seasonal                            Unisex                                                    , a11523c,49.99,https://www.softmoc.com/ca/i/converse/unisex/sneakers-and-athletic/kds-chuck-taylor-all-star-malden-street-1v-sneaker---bear-napwhiteblack/a11523c
110,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        S Lights Flex-Glow Bolt                            Baby and Toddlers                                                    , 400138n-bkrd,62.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/inf-s-lights-flexglow-bolt-sneaker--blackred/400138nbkrd
111,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Microspec Advance                            Baby and Toddlers                                                    , 403926n-bllm,44.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/inf-microspec-advance-sneaker--bluelime/403926nbllm
112,CONVERSE,Girls',                                                            Converse                                                        Chuck Taylor All Star - Seasonal                            Girls                                                    , a12105c,49.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-hi-top-sneaker--pink-foamwhiteblack/a12105c
113,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Unicorn Chaser                            Baby and Toddlers                                                    , 302298n-lvmt,62.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infg-unicorn-chaser-light-up-sneaker--lavendermulti/302298nlvmt
114,CONVERSE,Baby and Toddlers,                                                            Converse                                                        CTAS Rave 2V - Happy Hearts                            Baby and Toddlers                                                    , a08382c,39.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/infg-chuck-taylor-all-star-rave-2v-happy-hearts-sneaker--vapor-violetoops-pinkwhite/a08382c
115,PUMA,Girls',                                                            Puma                                                        Karmen II Idol Jr                            Girls                                                    , 398876-01,84.99,https://www.softmoc.com/ca/i/puma/girls/sneakers-and-athletic/grls-karmen-ii-idol-jr-platform-sneaker--whitewhitesilver/39887601
116,PUMA,Boys',                                                            Puma                                                        Playmaker Pro                            Boys                                                    , 310370-02,84.99,https://www.softmoc.com/ca/i/puma/boys/sneakers-and-athletic/bys-playmaker-pro-lace-up-sneaker--redblack/31037002
121,SKECHERS,Girls',                                                            Skechers                                                        JGoldcrown Uno Lite                            Girls                                                    , 314064l-wptq,79.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-jgoldcrown-uno-lite-lace-up-sneaker--whitepinkturquoise/314064lwptq
122,SKECHERS,Unisex,                                                            Skechers                                                        Bounder - Brisk-Burst                            Unisex                                                    , 403822l-bbk,57.99,https://www.softmoc.com/ca/i/skechers/unisex/sneakers-and-athletic/kds-bounder-briskburst-slipins-sneaker--blackblack/403822lbbk
123,SKECHERS,Boys',                                                            Skechers                                                        Go Run Consistent 2.0                            Boys                                                    , 405043l-bblm,64.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-go-run-consistent-20-sneaker--blackbluelime/405043lbblm
124,SKECHERS,Boys',                                                            Skechers                                                        Thermoflux 2.0 - Brodox                            Boys                                                    , 403750wl-bkrd,57.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-thermoflux-20--brodox-sneaker--blackred/403750wlbkrd
125,SKECHERS,Girls',                                                            Skechers                                                        Bounder - Simple Cute                            Girls                                                    , 303585l-blk,57.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-bounder-simple-cute-slipins-sneaker--black/303585lblk
126,SKECHERS,Boys',                                                            Skechers                                                        Gametronix 2.0                            Boys                                                    , 402270l-bkmt,69.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-gametronix-20-sneaker--blackmulti/402270lbkmt
127,SKECHERS,Boys',                                                            Skechers                                                        Microspec Advance                            Boys                                                    , 403926l-nvor,49.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-microspec-advance-sneaker--navyorange/403926lnvor
128,SKECHERS,Girls',                                                            Skechers                                                        Twinkle Sparks                            Girls                                                    , 314813l-lvmt,62.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-twinkle-sparks-sneaker--lavendermulti/314813llvmt
130,ADIDAS,Boys',                                                            adidas                                                        Kaptir 3S K                            Boys                                                    , ih3486,84.99,https://www.softmoc.com/ca/i/adidas/boys/sneakers-and-athletic/bys-kaptir-3-stripe-k-sneaker--blacksilver/ih3486
132,SKECHERS,Baby and Toddlers,,,59.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infg-unicorn-charmer-lil-steller-light-up-sneaker--pinkmulti/302694npktq
133,ADIDAS,Baby and Toddlers,                                                            adidas                                                        FortaRun 3.0 EL I                            Baby and Toddlers                                                    , ih2860,59.99,https://www.softmoc.com/ca/i/adidas/baby-and-toddlers/sneakers-and-athletic/infs-fortarun-30-el-i-sneaker--blackwhiteblack/ih2860
134,ADIDAS,Unisex,                                                            adidas                                                        FortaRun 3.0 EL C                            Unisex                                                    , ih2859,69.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-fortarun-30-el-c-sneaker--blackwhiteblack/ih2859
