,Product_Brand,Shoe_Name,Item_ID,Price,Product_Details,Link
15,COLE HAAN,                                                            Cole Haan                                                        American Classic Penny Loafer                            Men                                                    , c36028,219.99,"Add an iconic staple to your wardrobe with the American Classics Penny Loafer from Cole Haan. They gave this timeless silhouette an upgrade thanks to an Uber-comfortable footbed and lightweight construction, making it the perfect option for everyday wear. Style it with your favorite jeans, shorts or a more formal outfit for all-season style.                          Features & Benefits                         Premium leather upperIf you have a lower instep or narrow foot, consider sizing down by half a size for a more ideal fitEVA footbed for added cushioningStorm bead welt, heavy gauge stitch penny keeperClassic suiting inspired heel detailingLeather footbed accentuates crafted lookLightweight EVA outsole is soft, yet responsive for everyday wearRugged tread pattern for steady tractionCole Haan leather products support responsible manufacturing via the Leather Working Group                               Design Elements                         LeatherEVA OutsoleSlip On",https://www.softmoc.com/ca/i/cole-haan/mens/shoes/mns-american-classic-penny-loafer--blackblack/c36028
18,PUMA,                                                            Puma                                                        Caven 2.0 Abrupt                            Men                                                    , 397466-01,99.99,"Inspired by the basketball shoes popular in the 1980s, these Caven 2.0 Abrupt white/alpine snow/flat dark gray sneaker from Puma features a rich constructed upper that most definitely stays true to the Puma DNA. There are perforation details on the vamp, a stacked midsole design and a heavy visible texture. All in all, they present a modern but timeless look that will look good - and feel good.                          Features & Benefits                         Synthetic leather upperElevated midsole designPerforation on toeElastic lace closure for easy access and a secure fitCushioned footbedNon-marking rubber outsole                               Design Elements                         Rubber SoleContoured FootbedLaceNon Marking SoleSynthetic",https://www.softmoc.com/ca/i/puma/mens/sneakers-and-athletic/mns-caven-20-abrupt-lace-up-sneaker--whitealpine-snowflat-dark-gray/39746601
21,TIMBERLAND,                                                            Timberland                                                        Davis Square Warm                            Men                                                    , tb1a2g65f131,149.99,Stay warm and cozy this season with the Davis Square Warm Lined Waterproof Chukka boot from Timberland.  Featuring a waterproof leather upper. Cushioned OrthoLite footbed. The Davis Square is designed with a faux-fur lining made from ReBOTL fabric containing at least 50% recycled plastic.  Cushioned OrthoLite footbed with a rubber compound traction outsole.                          Features & Benefits                         Upper made with waterproof premium Timberland leatherSeam-sealed constructionFaux-fur lining made from ReBOTL fabric containing at least 50% recycled plasticLightweight OrthoLite footbedRubber outsole                               Design Elements                         LeatherWaterproofRubber SoleContrast StitchingFur LiningLace,https://www.softmoc.com/ca/i/timberland/mens/boots/mns-davis-square-warm-lined-waterproof-chukka-boot--brown/tb1a2g65f131
22,UGG,                                                            UGG                                                        Water & Stain Repellent                            Accessory                                                    , 1017848,19.99,"Protect your favorite sheepskin UGG boots, shoes, and slippers to keep them looking like new. When using the Water & Stain Protector Spray from UGG , for best results, cleanse the sheepskin with our Cleaner & Conditioner before applying the Protector. Non-toxic, biodegradable, and free of animal products. Ingredients: Water, Proprietary Resin Blend, Preservatives                          Features & Benefits                         Protects UGG boots to keep them looking like newShould be applied after UGG Sheepskin Cleaner & Conditioner for best resultsNon-toxic, biodegradable, and free of animal products6 ozIngredients: Water, Proprietary Resin Blend, Preservatives",https://www.softmoc.com/ca/i/ugg/accessory/shoe-care/waterstain-protector-spray-ugg-sheepskin/1017848
23,COLUMBIA,                                                            Columbia                                                        Bugaboot III                            Men                                                    , 1791221-012,179.99,"Warm, waterproof, and protective, the legacy Bugaboot III black/ bright red boot from Columbia is built for winter. Lightweight yet warm 200g insulation for cold conditions. Omni-Tech sheds water and releases excess heat with multi-layered breathable materials, so your feet stay dry and comfy in the rain and snow. Omni-Grip outsole provides all-terrain stability and traction with non-marking rubber and a tread pattern that adapts to varied surfaces, so you stay sure-footed in wet or dry conditions.                          Features & Benefits                         Waterproof leather upper keeps feet dryOmni-Tech sheds water and releases excess heat with multi-layered breathable materials, so your feet stay dry and comfy in the rain and snowInjection molded shell provides a sturdy structureLightweight yet warm 200g insulation for cold conditionsTechLite midsole provides sustained cushioning and impact absorption using lightweight responsive foam, keeping you comfortable on any terrainOmni-Grip outsole provides all-terrain stability and traction with non-marking rubber and a tread pattern that adapts to varied surfaces, so you stay sure-footed in wet or dry conditionsLoop in back for pulling on boots                               Design Elements                         LeatherWaterproofInsulatedRubber SoleCold RatedLaceNon Marking SoleTraction",https://www.softmoc.com/ca/i/columbia/mens/boots/mns-bugaboot-iii-waterproof-winter-boot--blackbright-red/1791221012
24,B&B PREMIUM,                                                            B&B Premium                                                        Barrett                            Men                                                    , barrett-brn,119.99,Walk in the Barrett brown lace up ankle boots from B&B Premium to feel and look good all day. Featuring a Polyurethane upper with stitch detailing. Lace up closure for a secure fit. Breathable textile lining surrounds the foot. Lightly cushioned insole for all day comfort. Durable synthetic outsole.                          Features & Benefits                         PU upperBreathable textile liningLace up closureLightly cushioned insoleDurable synthetic outsole                               Design Elements                         Contoured FootbedLacePolyurethaneTextile Lining,https://www.softmoc.com/ca/i/bb-premium/mens/boots/mns-barrett-lace-up-ankle-boot--brown/barrettbrn
26,HEYDUDE,                                                            Heydude                                                        Wally Holiday Elf                            Men                                                    , 42689-3xx,89.99,"You will want to scream good tidings and joy with these red- and green- trimmed, elf-inspired kicks. The Wally Holiday Elf casual shoe features elastic laces, an easy-on system and ultralight outsole for comfort and ease. Holiday plaid lining with a silver bell lace detailing. Holiday parties here we come-–we’ll be there with bells on.                          Features & Benefits                         Canvas upper and heelHoliday plaid liningSilver bell lace detailingComfort cushioned ankle collarEasy-on systemStretch LaceRemovable foam insoleTravel ready                               Design Elements                         Water ResistantCanvas UpperElasticFoam FootbedLaceLightweight SolePadded CollarTextile Lining",https://www.softmoc.com/ca/i/heydude/mens/shoes/mns-wally-holiday-elf-casual-shoe--greenred/426893xx
27,HEYDUDE,                                                            Heydude                                                        Wally Holiday Cheers                            Men                                                    , 41862-94s,89.99,"Spend this season’s greetings in a fun printed textile upper where you and your kicks can toast to any occasion. The Wally Holiday Cheers white/ multi casual shoe from HEYDUDE features a comfort cushion ankle collar, lightweight flex outsole and holiday-inspired print-–what more could you ask for this year? Upper treated with water repellant spray.                          Features & Benefits                         Printed Textile upperUpper treated with water repellant sprayStretch LaceComfort cushioned ankle collarElastic lacesEasy-on systemTravel readyRemovable foam insole                               Design Elements                         Water ResistantElasticPrinted Fabric UpperFoam FootbedLaceLightweight SolePadded CollarTextile Upper",https://www.softmoc.com/ca/i/heydude/mens/shoes/mns-wally-holiday-cheers-casual-shoe--whitemulti/4186294s
29,CONVERSE,                                                            Converse                                                        Chuck Taylor All Star Malden Street Wide                            Men                                                    , a09492c,109.99,"Take the high road in a pair of Chuck Taylor All Star High Street Canvas sneakers from Converse. When it comes to sneakers, this is the one you will want to put on your must-have list, with the true canvas upper and vulcanized rubber sole sneaker with the timeless silhouette and unmistakeable ankle patch. Over the decades Converse sneakers have been adopted by rebels, artists, musicians, dreamers, thinkers and originals alike.                          Features & Benefits                         Canvas upperHigh-top silhouettePadded tongue & collarLace-up closure with metal eyeletsCanvas lining & a padded footbedSignature Chuck Taylor All Star rubber toeRubber outsole with custom Diamond tread pattern for traction                               Design Elements                         Contoured FootbedCanvas LiningContrast StitchingCanvas UpperLacePadded CollarTraction",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-chuck-taylor-all-star-malden-street-wide-sneaker--truffleharvest-moonblack/a09492c
30,BIRKENSTOCK,                                                            Birkenstock                                                        Zermatt                            Men                                                    , 1014938,119.99,"A new slipper style for Birkenstock, the Zermatt anthracite slipper features removable cork and latex footbeds. The footbed contours to the foot for added support and cushioning confort. Featuring a boiled wool upper that is gentle on bare feet and the outsoles are dipped in natural rubber to provide excellent traction.                          Features & Benefits                         Boiled wool uppersRemovable cork and latex footbedOutsoles are dipped in natural rubber to help provide great tractionMade in Germany                               Design Elements                         CorkRubber SoleContoured FootbedRemovable FootbedTractionWoolSlip On",https://www.softmoc.com/ca/i/birkenstock/mens/slippers--moccasins/mns-zermatt-wool-slipper--anthracite/1014938
31,BLUNDSTONE,                                                            Blundstone                                                        2446 - Classic                            Unisex                                                    , 2446,264.99,"The 2446 Classic Chelsea boot from Blundstone feels and looks perfect on the first day and gets better every day as the boots fit to your feet and the leather gets gorgeous with wear. Featuring a waxed nubuck leather upper, pull-on, all-day comfort. Polyurethane midsole for comfort. XRD in the heel strike zone to dissipate heel strike shock.                          Features & Benefits                         Waxed nubuck leather upperPolyurethane midsole for improved comfort and cushioningThermo-urethane outsole for improved resistance to hydrolysis and microbial attackSteel shank for torsional stabilityRemovable footbedXRD in the heel strike zoneExtra set of footbeds for fit adjustment                               Design Elements                         ElasticNubuckPolyurethaneRemovable Footbed",https://www.softmoc.com/ca/i/blundstone/unisex/boots/unisex-2446-classic-chelsea-boot--clay/2446
32,B&B PREMIUM,                                                            B&B Premium                                                        Packard 02                            Men                                                    , packard02-blk,134.99,Walk in the Packard 02 Vegan black Chelsea  boot from B&B Premium to feel and look good all day. Featuring a smooth Polyurethane upper with stitch detailing. Elastic goring with a side zipper for easy on/off. Plush lining surrounds the foot in comfort. Lightly cushioned removable insole for all day comfort. Durable TR outsole.                          Features & Benefits                         VeganTumbled PU upperInside zipper with elastic goring for an easier on/offRemovable footbedTR outsoleWaterproof membranePlush lining                               Design Elements                         WaterproofFeaturing vegan friendly materialsContrast StitchingElasticPolyurethaneRemovable FootbedZipper Entry,https://www.softmoc.com/ca/i/bb-premium/mens/boots/mns-packard-02-vegan-waterproof-chelsea-boot--black/packard02blk
33,B&B PREMIUM,                                                            B&B Premium                                                        Carter                            Men                                                    , carter-brncrz,139.99,"The Carter  brown waterproof winter boot from B&B Premium will not only keep you warm and dry, it will also keep you looking great. Featuring a leather upper in a waterproof construction design. 200g of Thinsulate lining for added warmth. Slip resistant outsole for great durability.  You will want to make the Carter winter boot part of your must-have list for this seaon!                          Features & Benefits                         Genuine leather upperWaterproof Contruction200g thinsulateLace up stylingSlip resistant sole                               Design Elements                         LeatherWaterproofInsulatedLaceSlip Resistant SoleTractionTread",https://www.softmoc.com/ca/i/bb-premium/mens/boots/mns-carter-waterproof-winter-boot--brown/carterbrncrz
36,CONVERSE,                                                            Converse                                                        Pro Blaze Classic Luxe Sport                            Men                                                    , a12404c,109.99,"The original basketball shoe, now has a defined style of its own! The Pro Blaze Court vintage vaporous sneakers from Converse are always in style. Faux leather upper with a cushioned insole for added comfort. Lace up closure. Vulcanized rubber outsole for increased traction and flexibility. These won't go out of style!                          Features & Benefits                         Premium mix of faux leather, leather and suede for durabilityLightweight EVA foam helps provide optimal comfortLace up closurePadded tongue and tongueRubber outsole                               Design Elements                         Rubber SoleEVA MidsoleLaceLeather & SyntheticPadded Collar",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-pro-blaze-classic-luxe-sport-leather-sneaker--vintage-whitegreen-envyegret/a12404c
37,CONVERSE,                                                            Converse                                                        Chuck 70 Distressed                            Men                                                    , a09443c-m,119.99,"The Converse All Star Chuck ’70 is Converse's re-crafted sneaker that uses modern details to celebrate the original Chuck Taylor All Star from the 1970's. It features a slightly higher rubber foxing, a cushioned footbed that provides long-lasting comfort and a more substantial rubber toe cap. It’s an authentic throwback look that retains the iconic Chuck Taylor attributes you know and love, like the star-centered ankle patch and vulcanized rubber outsole.                          Features & Benefits                         Distressed leather upperOrtholite cushioned footbedArchival details like higher rubber sidingClassic All Star ankle patch, rubber toecap, toe bumper and stripingFeatures a slightly higher rubber foxingAdditional vintage details include stitching on the sidewall and a heavier-grade canvas upperVulcanized rubber outsole                               Design Elements                         LeatherRubber SoleContoured FootbedLaceRubberVulcanized Rubber",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-chuck-70-distressed-leather-hi-top-sneaker--papyrusclassic-taupeegret/a09443cm
38,CONVERSE,                                                            Converse                                                        Chuck Taylor All Star Malden Street                            Men                                                    , a09457c,74.99,"Named after the birthplace of Converse, these structured Chucks bring together modern comfort. The Chuck Taylor All Star Malden Street encourages you to explore more. Bringing together utility-inspired color with a padded tongue and collar, these structured Chucks are easy to wear all year long, wherever you go. These utility tones will help give you a standout look in any environment—from open fields to crowded streets.                          Features & Benefits                         Mid-top shoe with canvas upper and eyerow overlayOrthoLite cushioning for all-day comfortLace up frontFused All Star patch with print and woven polyester tongue labelVulcanized rubber outsole for increased traction & flexibility                               Design Elements                         Rubber SoleCanvas UpperLacePadded CollarVulcanized Rubber",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-chuck-taylor-all-star-malden-street-sneaker--bloodstonebloodstonewhite/a09457c
39,UGG,                                                            UGG                                                        UGGguard 2.0                            Unisex                                                    , 1161130-che,64.99,"Add an extra layer of elemental protection (and style) to your favorite classic UGG styles with the UGGguard 2.0. Fitting most UGG footwear with a flat outsole and rounded, closed to. This accessory is compatible with a range of UGG footwear and is not designed for use with other brands. It should not be used with any UGG footwear having a heel or an open toe. Due to the nature of this product, it is possible that the shape or color of the UGG footwear used with the boot guard may be affected.                          Features & Benefits                         Silicone rubber galoshFitting most UGG footwear with a flat outsole and rounded, closed toeWaterproofHeel height: 25mmPlatform height: 20mmNot be used with any UGG footwear having a heel or an open toe                               Design Elements                         WaterproofRubber SoleRubberSlip On",https://www.softmoc.com/ca/i/ugg/unisex/shoe-care/unsx-uggguard-20-protective-galosh--chestnut/1161130che
41,MERRELL,                                                            Merrell                                                        Thermo Akita Mid                            Men                                                    , j036441,169.99,"With waterproof coated leather, a waterproof membrane, and 200g of warm insulation, you can depend on the Themo Akita Mid Waterproof black winter boot from Merrell. This cold-weather boot helps protect against the elements this season. Featuring a bellows tongue to help keep out debris. Kinetic Fit BASE removable contoured insole for flexible support.                          Features & Benefits                         Waterproof coated leather and mesh upperMetal hook traditional lace closureBellows tongue keeps out debrisGaiter D-RingBreathable mesh lining/ Molded nylon arch shank200 grams lightweight, low bulk insulation keeps you comfortableFleece collarKinetic Fit BASE removable contoured insole for flexible supportMerrell Air Cushion in the heel absorbs shock and adds stabilityMerrell sticky rubber outsole tuned for winter optimizes traction over cold weather surface conditions                               Design Elements                         LeatherWaterproofInsulatedRubber SoleContoured FootbedFleeceLaceMeshMesh LiningRemovable FootbedTraction",https://www.softmoc.com/ca/i/merrell/mens/boots/mns-thermo-akita-mid-waterproof-winter-boot--black/j036441
42,CONVERSE,                                                            Converse                                                        Chuck 70                            Men                                                    , a09467c-m,99.99,"The Converse All Star Chuck ’70 is Converse's re-crafted sneaker that uses modern details to celebrate the original Chuck Taylor All Star from the 1970's. It features a slightly higher rubber foxing, a cushioned footbed that provides long-lasting comfort and a more substantial rubber toe cap. It’s an authentic throwback look that retains the iconic Chuck Taylor attributes you know and love, like the star-centered ankle patch and vulcanized rubber outsole.                          Features & Benefits                         Canvas upperOrtholite cushioned footbedArchival details like higher rubber sidingClassic All Star ankle patch, rubber toecap, toe bumper and stripingFeatures a slightly higher rubber foxingAdditional vintage details include stitching on the sidewall and a heavier-grade canvas upperVulcanized rubber outsole                               Design Elements                         Rubber SoleContoured FootbedContrast StitchingCanvas UpperLaceVulcanized Rubber",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-chuck-70-hi-top-sneaker--green-envyegretblack/a09467cm
43,REEBOK,                                                            Reebok                                                        Campio XT                            Men                                                    , 100220547,109.99,"Imagine you're on the pitch in the '90s when you lace up these Reebok Campio XT shoes. Inspired by vintage soccer style, they have a sleek silhouette and colors reminiscent of classic kits. A suede T-toe perfectly sets off the aggressive rubber toe bumper. With their retro-inspired design and contemporary flair, they capture the spirit of both past and present effortlessly.                          Features & Benefits                         Genuine leather upperSuede T-toeTextile liningLace closureEVA midsole for added comfortSilhouette inspired by '90s soccer shoesRubber outsole                               Design Elements                         LeatherRubber SoleEVA MidsoleLacePadded CollarTextile Lining",https://www.softmoc.com/ca/i/reebok/mens/sneakers-and-athletic/mns-campio-xt-lace-up-sneaker--whiteblkgum/100220547
44,BIRKENSTOCK,                                                            Birkenstock                                                        Nagoya                            Men                                                    , 1028184-m,219.99,"Minimalist design, maximum comfort. The Nagoya desert roast clog reimagines Birkenstock's iconic slip-on silhouette with a hook-and-loop strap that hugs your foot just right. Grained nubuck leather adds character above an original contoured footbed, Contoured cork-latex footbed creates custom support with wear designed to support you every step of the way. Made in Germany.                          Features & Benefits                         Grained nubuck leather upperContoured cork-latex footbed creates custom support with wearHook-and-loop strap perfects the fitSuede footbed lining helps keep you comfortableFlexible EVA sole                               Design Elements                         Arch SupportCorkAdjustable StrapsEVA OutsoleHook & Loop ClosureNubuckSuede SockSlip On",https://www.softmoc.com/ca/i/birkenstock/mens/clogs/mns-nagoya-casual-clog--desert-roast/1028184m
46,BLUNDSTONE,                                                            Blundstone                                                        2427 Original Lace Up                            Unisex                                                    , 2427,274.99,"The 2429 Original Chelsea boot from Blundstone feels and looks perfect on the first day and gets better every day as the boots fit to your feet and the waxed nubuck leather gets gorgeous with wear. Featuring a waxed nubuck leather upper, pull-on, all-day comfort. Polyurethane midsole for comfort. XRD in the heel strike zone to dissipate heel strike shock. The waxed nubuck finish is pre-distressed, meaning you will experience variations in colour, tone and finish. This is a natural feature of the material.                          Features & Benefits                         Waxed nubuck leather upperSupple, water-resistant leather keeps your feet dry and comfortableLeather heel support provides additional durabilityAn ergonomically engineered toe spring combined with XRD Technology in the heel, further reduces wearer fatigue while increasing comfortThe TPU outsole provides enhanced traction for the ultimate comfort from the first step                               Design Elements                         LeatherWater ResistantLaceNubuck",https://www.softmoc.com/ca/i/blundstone/unisex/boots/unisex-2427-original-lace-up-ankle-boot--rustic-black/2427
47,CROCS,                                                            Crocs                                                        Classic Lined Puffer                            Men                                                    , 210059-001-m,79.99,"Everybody loves the comfort of the Crocs Classic Clog — and now the toasty lined version delivers more cozy style with a molded puff texture. The soft fleece liner and puffy texture make these comfy and stylish, and they're great for wearing around town or at home. Croslite™ foam construction keeps them light and easy to wear. The pivoting heel strap gives you a secure fit, or push it forward to just step in and go                          Features & Benefits                         Molded puff textureSoft fleece linerIncredibly light and easy to wearPivoting heel strap for a more secure fitCustomizable with Jibbitz charmsDual Crocs Comfort                               Design Elements                         Molded Croslite EVFleeceLightweight Sole",https://www.softmoc.com/ca/i/crocs/mens/clogs/mns-classic-lined-puffer-comfort-clog--black/210059001m
48,DR MARTENS,                                                            Dr Martens                                                        1460 Pascal Ambassador                            Men                                                    , 31981001,214.99,"The 1460 Pascal Ambassador boot from Dr. Martens retains all the history and tough durability of the original, iconic 8-eye — and all the DNA, like a scripted heel-loop, visible stitching and grooved edges on an air-cushioned oil and fat resistant sole. Goodyear Welt Construction - the upper and sole are heat-sealed and sewn together.                          Features & Benefits                         Genuine leather upper8 metal eyeletsGoodyear Welt Construction - the upper & sole are heat-sealed & sewn togetherDr. Martens air-cushioned soleOil-resistant DML outsoleUK sizing                               Design Elements                         LeatherAir-Cushioned SoleLaceOil Resistant Outsole",https://www.softmoc.com/ca/i/dr-martens/mens/boots/mns-1460-pascal-ambassador-8eye-smooth-combat-boot--black/31981001
