,Product_Brand,Shoe_Name,Item_ID,Price,Product_Details,Link
13,SOFTMOC,                                                            SoftMoc                                                        Omega 2                            Women                                                    , omega2-blk,239.99,The Omega 2 Tall Riding black boot from Maddison by SoftMoc is the perfect boot choice whether your outfit is demanding a dressed up look or weekend casual. Featuring a genuine leather upper with elastic goring for a great fit. A lightly cushioned footbed with PU/Lycra lining helps create all day comfort. The Omega 2 Tall Riding boot is designed with a durable TPR outsole.                          Features & Benefits                         Genuine leather upperPU/ Lycra liningLightly cushioned footbedInside zipper for easy on/offElastic goringTPR outsole                               Design Elements                         Leather & Synthetic,https://www.softmoc.com/ca/i/softmoc/womens/boots/lds-omega-2-riding-boot--black/omega2blk
14,SOFTMOC,                                                            SoftMoc                                                        Omega                            Women                                                    , omega-cgnc,249.99,The Omega Tall Riding cognac boot from Maddison by SoftMoc is the perfect boot choice whether your outfit is demanding a dressed up look or weekend casual. Featuring a genuine leather upper. A lightly cushioned footbed with PU/Lycra lining helps create all day comfort. The Omega Tall Riding boot is designed with a durable TPR outsole.                          Features & Benefits                         Genuine leather upperPU/ Lycra liningLightly cushioned footbedInside zipper for easy on/offBuckle detailingTPR outsole                               Design Elements                         LeatherBuckleContoured Footbed,https://www.softmoc.com/ca/i/softmoc/womens/boots/lds-omega-riding-boot--cognac/omegacgnc
15,UGG,                                                            UGG                                                        Disquette Atherson                            Women                                                    , 1158282-che,149.99,"We love to live in the Disquette Atherson. Ultra-light and ultra-cozy, these slippers will be the first thing you put on in the morning and the last thing you take off at night. The Disquette Atherson Slipper from UGG Australia  features a suede upper decorated with striking hand-stitched details. Find sheepskin on the collar, insole, and soft UGGplush lining the interior. A sugarcane EVA platform keeps these light and boosts height.                          Features & Benefits                         Suede upper with embroidery detailing17mm UGGplush 60% upcycled wool, 40% TENCEL Lyocell vamp lining17mm curly sheepskin insoleFoam footbedEVA midsoleSugarcane EVA outsoleTextile binding made from 100% recycled polyester fibers1.25 inch  platform height                               Design Elements                         SheepskinEVA MidsoleStitched DesignSlip OnPlatforms",https://www.softmoc.com/ca/i/ugg/womens/slippers--moccasins/lds-disquette-atherson-slipper--chestnut/1158282che
16,COLUMBIA,                                                            Columbia                                                        Snowtrot Mid                            Women                                                    , 2075111-395,149.99,"Full of functional pieces designed to add style in layers, the Snowtrot Mid grey green/dark stone waterproof boot from Columbia gives you the flexibility to show up on your terms. Featuring Omni-Heat Infinity lining retains body heat while remaining breathable using an expanded pattern of thermal-reflective gold dots to keep you extra warm in cold weather.  Explore the city. Soak up the outdoors. Wherever you’re headed, go in style.                          Features & Benefits                         Omni-Tech sheds water and releases excess heat with multi-layered breathable materials, so you stay dry and comfy in the rainOmni-Heat Infinity lining retains body heat while remaining breathable using an expanded pattern of thermal-reflective gold dots to keep you extra warm in cold weatherMedial zipper for an easy on-and-offFleece interior for cozy comfortLightweight yet warm 200g insulationTechLite+ midsole provides elevated cushioning, stability, and energy return with extra-light responsive foam, for long lasting comfort on any terrainAdapt Trax outsole provides exceptional wet-or-dry traction using a unique compound and hike-specific tread pattern to keep you stable on any terrain                               Design Elements                         WaterproofInsulatedFleeceTractionZipper Entry",https://www.softmoc.com/ca/i/columbia/womens/boots/lds-snowtrot-mid-waterproof-winter-boot--grey-greendark-stone/2075111395
19,TIMBERLAND,                                                            Timberland                                                        Premium                            Women                                                    , tb0a2hr8ekd,189.99,"Inspired by Timberland's original waterproof boot, the Premium 6"" all-season style gives you tireless waterproof performance and instantly recognizable work-boot styling. Other essential features include 200 grams of warm, down-free PrimaLoft insulation. Designed with a padded collar for a comfortable fit around the ankle and a rubber lug outsole for traction.                          Features & Benefits                         Waterproof nubuck upperDurable laces with Taslan fibers for long-lasting wearRustproof hardware for durabilityEmbossed tree logo on sideSeam-sealed constructionRubber lug outsole for superior traction                               Design Elements                         WaterproofInsulatedRubber SoleLaceNubuckPadded CollarTraction",https://www.softmoc.com/ca/i/timberland/womens/boots/lds-premium-6-waterproof-boot--light-pink/tb0a2hr8ekd
20,COLE HAAN,                                                            Cole Haan                                                        Vandam                            Women                                                    , w30085,199.99,"Upgrade your wardrobe with the Vandam Sling-Back Dress Heel from Cole Haan. This timeless silhouette with added comfort, so you can add style and charisma to any outfit without wanting to change your shoes after a long day. Also featuring 3D Lux Comfort, an innovative technology with three distinct layers of foam in soft, medium, and firm densities that deliver shock absorption, arch support, and exceptional cushioning. That means every step is softer, reducing fatigue and impact. Plus, the comfort is discreetly built into the design for a touch of luxury all day.                          Features & Benefits                         Genuine leather upperThis style runs narrow. For a fuller foot, consider sizing up by half a size for a more comfortable fitGrand 360 premium sockAdded arch foam for comfort3D Lux Comfort TechnologyLeather linedSynthetic outsole for durability and traction, made with 32% recycled rubber contentAproox.  2.5 inch heelCole Haan leather products support responsible manufacturing via the Leather Working Group                               Design Elements                         LeatherArch SupportLeather Lining",https://www.softmoc.com/ca/i/cole-haan/womens/shoes/lds-vandam-slingback-dress-heel--dark-cuoio/w30085
23,UGG,                                                            UGG                                                        Classic Mini Dipper Puffer                            Women                                                    , 1158275-bblc,239.99,"The good kind of fashion drama is here, just waiting for you. That's where the Classic Mini Dipper Puffer boot from UGG Australia comes in. They called it the Plushwarmer. Lightly insulated and lined with faux fur, the Dipper Puffer Plushwarmer adds essential warmth (and outstanding style) on colder days and can be packed away when the sun comes out or you reach your destination.                          Features & Benefits                         Suede vamp, Neoprene shaftSuede heel counter, Reversible leg warmer shaft, Rear pull tab made from 100% recycled polyester fibersElastic band17mm UGGplush 60% upcycled wool, 40% TENCEL Lyocell lining, Faux fur Liningclassic mini dipper puffer boot17mm UGGplush 60% upcycled wool, 40% TENCEL Lyocell socklinerFoam footbedSugarcane EVA outsoleTextile binding made from 100% recycled polyester fibers2 inch platform height",https://www.softmoc.com/ca/i/ugg/womens/boots/lds-classic-mini-dipper-puffer-boot--blackblack/1158275bblc
24,TIMBERLAND,                                                            Timberland                                                        Brimfield Mid                            Women                                                    , tb0a28u8w02,169.99,"Built to help keep your feet warm, the Brimfield Mid Warm lined boots from Timberland are made with Premium Timberland Leather Designed with aa ReBOTL fabric lining containing at least 50% recycled PET plastic. The OrthoLite Impressions memory foam footbed helps cushion your feet. Timberland supports responsible manufacturing of leather via the Leather Working Group.                          Features & Benefits                         Upper made with Premium Timberland Waterproof LeatherTimberland supports responsible manufacturing of leather via the Leather Working GroupSide zipperReBOTL fabric lining containing 50% recycled PET plasticOrthoLite Impressions memory foam footbedRubber lug outsole                               Design Elements                         LeatherWaterproofMemory FoamRubber SoleZipper EntryRecycled Materials",https://www.softmoc.com/ca/i/timberland/womens/boots/lds-brimfield-mid-warm-lined-boot--black/tb0a28u8w02
26,MERRELL,                                                            Merrell                                                        Marquette Thermo Tall                            Women                                                    , j007074,199.99,"Step into the season with confidence and warmth in the Marquette Thermo Tall Zip waterproof boot from Merrell.. Crafted to combat the coldest of days, these boots feature a soft fleece lining paired with 100g of insulation and a FloatMax midsole, keeping your feet comfy and cozy without sacrificing the style you deserve.                          Features & Benefits                         Waterproof suede leather upperWaterproof membrane seals out water and lets moisture escapeBellows tongue keeps out debrisProtective and abrasion resistant rubber toe capFaux fur and fleece lining200 grams Primaloft Gold Eco Series synthetic insulationFleece footbed coverCleansport NXT treated for natural odor controlFloatMax Foam footbed for a soft and smooth underfoot experienceRubber outsole                               Design Elements                         WaterproofInsulatedFaux FurSuede UpperRubber SoleFleeceLace",https://www.softmoc.com/ca/i/merrell/womens/boots/lds-marquette-thermo-tall-zip-waterproof-boot--tan/j007074
28,MERRELL,                                                            Merrell                                                        Marquette Thermo Lace                            Women                                                    , j007058,174.99,"Step into the season with confidence and warmth in the Marquette Thermo Lace waterproof boot from Merrell. Crafted to combat the coldest of days, these boots feature a soft fleece lining paired with 100g of insulation and a FloatMax midsole, keeping your feet comfy and cozy without sacrificing the style you deserve.                          Features & Benefits                         Waterproof membrane seals out water and lets moisture escapeWaterproof suede leather upper Bellows tongue keeps out debrisProtective and abrasion resistant rubber toe capFaux fur and fleece lining100 grams Primaloft Gold Eco Series synthetic insulationCleansport NXT  treated for natural odor controlFleece footbed coverFloatMax Foam footbed for a soft and smooth underfoot experience Rubber outsole                               Design Elements                         WaterproofInsulatedFaux FurSuede UpperFleeceLace",https://www.softmoc.com/ca/i/merrell/womens/boots/lds-marquette-thermo-lace-waterproof-boot--tan/j007058
29,BOGS,                                                            Bogs                                                        Cedar Quilt Lace                            Women                                                    , 73280-001,154.99,"Think warm blankets, fireside, sipping on hot cocoa. But it’s all happening in your Cedar Quilt black lace waterproof boots from Bogs. Featuring a waterproof rubber and textile upper.  DuraFresh natural bio-technology activates to fight odors. BOGS Max-Wick evaporates sweat to keep feet dry. Bio-based footbed provides comfort while minimizing environmental impact.                          Features & Benefits                         Waterproof rubber and  textile upper Rebound bio-based footbed adds extra cushioning and comfortDuraFresh natural bio-technology activates to fight odorsBogs Max-Wick evaporates sweat to keep feet dry100% WaterproofBogs grip Rubber sole                               Design Elements                         WaterproofFaux FurRubber SoleAnti-odour ProtectionLaceTextile Upper",https://www.softmoc.com/ca/i/bogs/womens/boots/lds-cedar-quilt-lace-waterproof-boot--black/73280001
31,CROCS,                                                            Crocs                                                        Overpuff Moc                            Women                                                    , 210668-060,109.99,"Make a bold and cozy statement in the Overpuff Moc Clog from Crocs. Featuring exaggerated coziness and trendy streetwear design, the Overpuff collection provides functional warmth with eye-catching fashionable style. The quilted puff upper can be adjusted for fit and cozy warmth, and the bold outsole steps up the cozy theme for a unique style statement. Proof that cold weather footwear can be both functional and high fashion.                          Features & Benefits                         Fleece-lined quilted puff upper provides warmth and comfortBungee cord toggle adjusts upper for improved fit and added warmthDaring outsole design conveys exaggerated coziness and bold streetwear styleRugged rubber outsole pod for enhanced traction and stabilityToe cap provides weather protection                               Design Elements                         Rubber SoleFleece",https://www.softmoc.com/ca/i/crocs/womens/clogs/lds-overpuff-moc-comfort-clog--blackblack/210668060
33,UGG,                                                            UGG                                                        Water & Stain Repellent                            Accessory                                                    , 1017848,19.99,"Protect your favorite sheepskin UGG boots, shoes, and slippers to keep them looking like new. When using the Water & Stain Protector Spray from UGG , for best results, cleanse the sheepskin with our Cleaner & Conditioner before applying the Protector. Non-toxic, biodegradable, and free of animal products. Ingredients: Water, Proprietary Resin Blend, Preservatives                          Features & Benefits                         Protects UGG boots to keep them looking like newShould be applied after UGG Sheepskin Cleaner & Conditioner for best resultsNon-toxic, biodegradable, and free of animal products6 ozIngredients: Water, Proprietary Resin Blend, Preservatives",https://www.softmoc.com/ca/i/ugg/accessory/shoe-care/waterstain-protector-spray-ugg-sheepskin/1017848
34,BIRKENSTOCK,                                                            Birkenstock                                                        Boston Chunky                            Women                                                    , 1028317,189.99,"A chunky platform sole takes the Boston clog's iconic design from Birkenstock to new heights—and your style along with it. Velvety suede feels as classic as the original, with fresh perspective from the statement platform below. Adjustable strap with metal pin buckle.  Designed around a contoured footbed, this style only feels better with wear. Narrow Width.                          Features & Benefits                         Beautiful velvety suede upperContoured cork-latex footbed creates custom support with wearSuede footbed lining helps keep you comfortableAdjustable strap with metal pin buckleFootbed made in GermanyPlatform EVA soleNarrow Width                               Design Elements                         Arch SupportCorkSuede UpperAdjustable StrapsBuckleContoured FootbedEVA OutsoleNarrowSuede SockSlip OnPlatforms",https://www.softmoc.com/ca/i/birkenstock/womens/clogs/lds-boston-chunky-platform-narrow-clog--black/1028317
35,BIRKENSTOCK,                                                            Birkenstock                                                        Arizona Chunky                            Women                                                    , 1028403,169.99,"A chunky platform sole takes the Arizona Chunky classic design from Birkentstock to new heights—and your style along with it. The statement tread stands out below the classic suede upper. Built on a contoured footbed that creates support,  this platform is always ready to get up to something. Heel height: 30 mm. Narrow Width.                          Features & Benefits                         Beautiful suede upperContoured footbed creates support with wearSuede footbed liningTwo straps with adjustable metal pin bucklesFootbed made in GermanyPlatform EVA soleHeel height: 30 mmNarrow Width                               Design Elements                         Arch SupportCorkSuede UpperAdjustable StrapsBuckleContoured FootbedEVA OutsoleNarrowSuede SockSlip OnPlatforms",https://www.softmoc.com/ca/i/birkenstock/womens/sandals/lds-arizona-chunky-platform-narrow-sandal--black/1028403
36,CLARKS,                                                            Clarks                                                        Keirsta Cove                            Women                                                    , 26180041m,189.99,"Whether paired with a dress or tights, get that breezy elegance with the Kiersta Cove boot from Clarks. The knee-high boot, made with premium leather, has a Ultimate Comfort foam footbed for plush, underfoot cushioning. Inside zipper closure with elastic gore. The flexible, stabilizing sole keep you on the move.                          Features & Benefits                         Premium leather upperInside zipper closure with elastic goreRound toeFabric liningUltimate Comfort synthetic foam footbedSynthetic soleApprox. 15.25 inch  shaft heightApprox. 15"" calf circumference2.75 inch stacked block heel                               Design Elements                         LeatherElasticSyntheticTextile LiningZipper Entry",https://www.softmoc.com/ca/i/clarks/womens/boots/lds-keirsta-cove-tall-boot--black/26180041m
37,BIRKENSTOCK,                                                            Birkenstock                                                        Zermatt                            Women                                                    , 1014934,119.99,"Winter or summer slipper? The Zerrmatt  shearling slippers from Birkenstock is both! To ensure that you can safely potter round the house all year, the sole is dipped in latex using a special process, which makes it flexible and gives it slip-resistant properties. Featuring a wool felt upper. Removable, anatomically shaped cork-latex footbed. Narrow Width.                          Features & Benefits                         Felt wool upperRemovable, anatomically shaped cork-latex footbedDecorative stitching; decorative rivetSuede footbed with shearling liningSole is dipped in latex using a special processMade in GermanyNarrow Width                               Design Elements                         CorkContoured FootbedFeltLatexNarrowOpen BackSlip On",https://www.softmoc.com/ca/i/birkenstock/womens/slippers--moccasins/lds-zermatt-narrow-slipper--light-grey/1014934
39,CLARKS,                                                            Clarks                                                        Mayhill Walk                            Women                                                    , 26177817w,149.99,"Inspired by Clarks'  iconic Torhill, the sneaker Mayhill Walk combines a crafted, casual silhouette with summer-ready comfort. Super-soft leathers make for effortless everyday wear – while Clarks'  pillow-top Contour Cushion footbed delivers lasting comfort and a chunky, crepe-effect cupsole wrap active feet in ultimate comfort. Lace-up fastening offers a secure, custom fit.                          Features & Benefits                         Premium leather uppersLace-up fastening offers a secure, custom fitRemovable Contour Cushioned footbed footbed delivers lasting comfortLightweight, flexible TR (thermoplastic rubber) sole for ultimate traction                               Design Elements                         LeatherLaceRemovable Footbed",https://www.softmoc.com/ca/i/clarks/womens/shoes/lds-mayhill-walk-lace-up-sneaker--off-white/26177817w
41,BIRKENSTOCK,                                                            Birkenstock                                                        Highwood                            Women                                                    , 1025792,259.99,"Heritage inside and out. The Highwood Chelsea boot from Birkentstock is crafted with the finest natural leather and a Birkenstock cork PU midsole, hinting at the legendary comfort within. Inside, a premium Deep Blue footbed provides layers of support, with a moisture-wicking lining and PU base that optimizes your natural walking motion. Tread comfortably.                          Features & Benefits                         Nubuck upperBIRKENSTOCK Deep Blue footbed shapes to your foot with wearMicrofiber footbed lining is moisture wickingNatural rubber sole for added tractionFootbed made in Germany                               Design Elements                         Rubber SoleContoured FootbedMicrofiberMoisture Wick LiningNubuckPolyurethaneTraction",https://www.softmoc.com/ca/i/birkenstock/womens/boots/lds-highwood-chelsea-boot--graphite-nubuck/1025792
42,BIRKENSTOCK,                                                            Birkenstock                                                        Uppsala                            Women                                                    , 1026205,249.99,"Introducing the brand new Uppsala Shearling boot from Birkenstock! The perfect cozy, mid-high boot with a warm genuine shearling lining. The upper is made from especially soft suede. The sole is made of TR rubber for added grip and durability. These versatile boots will help you stay stylish and supported, even on chilly days.                          Features & Benefits                         Genuine leather upperRemovable, anatomically shaped cork-latex footbedAdjustable strapGenuine shearling liningDurable TR outsoleMade in Germany                               Design Elements                         LeatherShearlingCorkAdjustable StrapsBuckleRemovable Footbed",https://www.softmoc.com/ca/i/birkenstock/womens/boots/lds-uppsala-leather-shearling-boot--cognac/1026205
44,CROCS,                                                            Crocs                                                        Batman Batmobile Classic Clog                            Women                                                    , 210219-001,84.99,"It's high-octane style. The Batman Batmobile Classic Clog from Crocs will have you ready to own the night (and the day) with a design inspired by Batman’s ride — right down to the bat wings on the side of the strap. And you can customize your new favorite mode of transportation, with Jibbitz charms. To the Batcave!                          Features & Benefits                         Exclusive Batmobile design Water-friendly and buoyant; weighs only ouncesVentilation ports add breathability and help shed water and debrisBat wing detail on heel strap Easy to clean and quick to dry Pivoting heel straps for a more secure fit Exclusive Batman Jibbitz charms  Croslite material                               Design Elements                         Contoured FootbedMolded Croslite EVOpen BackPerforated upperPrinted DesignWater FriendlySlip On",https://www.softmoc.com/ca/i/crocs/womens/clogs/lds-batman-batmobile-classic-eva-comfort-clog--black/210219001
45,COLUMBIA,                                                            Columbia                                                        Minx IV                            Women                                                    , 2079171-010,159.99,"Everyday warmth and protection. The cold-weather Minx IV Omni-Heat waterproof winter boot from Columbia features an improved fit and better wet-or-dry traction, while thermal-reflective lining and water-shedding tech keep feet comfy and dry. Omni-Tech sheds water and releases excess heat with multi-layered breathable materials, so you stay dry in wet conditions.                          Features & Benefits                         Quilted upper and faux fur interior for comfort and styleOmni-Heat thermal-reflective breathable lining retains warmth using silver dots that reflect body heat, so your feet stay warm and comfortable as temps dropOmni-Tech sheds water and releases excess heat with multi-layered breathable materials, so you stay dry in wet conditionsTechLite+ midsole provides elevated cushioning, stability, and energy return with extra-light responsive foam, for long lasting comfort on any terrainAdapt Trax outsole provides exceptional wet-or-dry traction using a unique compound and hike-specific tread pattern to keep you stable on any terrain                               Design Elements                         WaterproofFaux FurFoam FootbedLaceTractionTread",https://www.softmoc.com/ca/i/columbia/womens/boots/lds-minx-iv-omniheat-waterproof-winter-boot--blacktitanium/2079171010
47,CROCS,                                                            Crocs                                                        Classic Lined OverPuffer                            Women                                                    , 210059-0lj,79.99,"Everybody loves the comfort of the Crocs Classic Clog — and now the toasty lined version delivers more cozy style with a molded puff texture. The Classic Lined OverPuffer clog features a soft fleece liner and puffy texture make these comfy and stylish, and they're great for wearing around town or at home. Croslite foam construction keeps them light and easy to wear. The pivoting heel strap gives you a secure fit, or push it forward to just step in and go.                          Features & Benefits                         Molded puff textureCroslite materialSoft fleece linerIncredibly light and easy to wearPivoting heel straps for a more secure fitGreat indoors or outCustomizable with Jibbitz charms                               Design Elements                         Molded Croslite EVFleeceSlip On",https://www.softmoc.com/ca/i/crocs/womens/clogs/lds-classic-lined-overpuffer-comfort-clog--moth/2100590lj
48,CLARKS,                                                            Clarks                                                        Hollyhock Walk                            Women                                                    , 26176308m,159.99,"The Hollyhock Walk off white leather sneaker from Clarks is the shoe that takes you everywhere this season! A sleek leather upper and leather lining wrap your foot in premium, breathable comfort, and a pillowy footbed softens the impact of your every move – perfect for those non-stop days on the go. Big on support and big on contemporary aesthetics too, a chunky platform sole keeps all your looks feeling super on-trend.                          Features & Benefits                         Premium leather upperLace-up fastening delivers a secure, custom fitBreathable leather lining and sockHeritage Strobel construction enhances flexibilityMolded Contour Cushion footbed supports each stepLightweight, impact-absorbing EVA outsole                               Design Elements                         LeatherLeather LiningContoured FootbedEVA OutsoleLace",https://www.softmoc.com/ca/i/clarks/womens/sneakers-and-athletic/lds-hollyhock-walk-leather-lace-up-sneaker--off-white/26176308m
49,SOREL,                                                            Sorel                                                        Kinetic Impact Caribou Plus                            Women                                                    , 2099121-010,189.99,"Make an impact with bold, sneaker-like boot design and warm construction. The Kinetic Impact Caribou Plus Waterproof boot from Sorel is designed with a dual rubber outsole that provides traction and durability.  The midsole utilizes 10% algae Bloom for extra impact. Suede upper with  with scratch rubber heel. Please note: Laces and zippers incorporated in SOREL footwear are not waterproof.                          Features & Benefits                         Waterproof suede upper, with scratch rubber heelWaterproof constructionMicrofleece lining100g insulationRemovable molded EVA sockliner with microfleece topcoverLightweight molded LIVELYFOAM midsoleMidsole made with 10% Bloom, an algae-biomass-containing materialPlease note: Laces and zippers incorporated in SOREL footwear are not waterproofMolded EVERTREAD rubber outsoleMidsole made with 10% Bloom, an algae-biomass-containing material                               Design Elements                         WaterproofInsulatedRubber SoleEVA MidsoleFleeceLace",https://www.softmoc.com/ca/i/sorel/womens/boots/lds-kinetic-impact-caribou-plus-waterproof-boot--blacksea-salt/2099121010
50,BLUNDSTONE,                                                            Blundstone                                                        2446 - Classic                            Unisex                                                    , 2446,264.99,"The 2446 Classic Chelsea boot from Blundstone feels and looks perfect on the first day and gets better every day as the boots fit to your feet and the leather gets gorgeous with wear. Featuring a waxed nubuck leather upper, pull-on, all-day comfort. Polyurethane midsole for comfort. XRD in the heel strike zone to dissipate heel strike shock.                          Features & Benefits                         Waxed nubuck leather upperPolyurethane midsole for improved comfort and cushioningThermo-urethane outsole for improved resistance to hydrolysis and microbial attackSteel shank for torsional stabilityRemovable footbedXRD in the heel strike zoneExtra set of footbeds for fit adjustment                               Design Elements                         ElasticNubuckPolyurethaneRemovable Footbed",https://www.softmoc.com/ca/i/blundstone/unisex/boots/unisex-2446-classic-chelsea-boot--clay/2446
